geoid,var,value
08065,koppen_27,0.5481813725817093
08065,koppen_29,0.45181862741829076
08067,confidence,82.57847850312746
08067,koppen_26,0.4061332641265028
08067,koppen_27,0.1997421940992576
08067,koppen_29,0.012729416423688538
08067,koppen_7,0.3813951253505511
08069,confidence,82.76983161083703
08069,koppen_26,0.22573164729450032
08069,koppen_27,0.3766885816418311
08069,koppen_29,0.04336518396457519
08069,koppen_7,0.35421458709909337
08071,confidence,93.34995532446847
08071,koppen_26,0.07405270232299743
08071,koppen_27,0.02635260997247786
08071,koppen_7,0.8995946877045247
08073,confidence,99.99421004923018
08073,koppen_7,1
08075,confidence,97.7843912456296
08075,koppen_7,1
08077,confidence,76.6479109069119
08077,koppen_18,0.030860990951028178
08077,koppen_26,0.12950557214295674
08077,koppen_27,0.07322888564429708
08077,koppen_5,0.19809434019236402
08077,koppen_7,0.568310211069354
08079,confidence,80.63908917100139
08079,koppen_26,0.04626214918979205
08079,koppen_27,0.9135406986436306
08079,koppen_29,0.0401971521665773
08081,confidence,87.71326853509098
08081,koppen_26,0.1476533932589744
08081,koppen_27,0.006422312260444861
08081,koppen_7,0.8459242944805807
08083,confidence,82.76358540387102
08083,koppen_18,0.07461883089121264
08083,koppen_26,0.10309208769027131
08083,koppen_27,0.06208950479220657
08083,koppen_5,0.10646268603835711
08083,koppen_7,0.6537368905879524
08085,confidence,81.76550830107816
08085,koppen_26,0.17700350519034538
08085,koppen_27,0.0027310810710243017
08085,koppen_5,0.07078113078350647
08085,koppen_7,0.7494842829551238
08087,confidence,100
08087,koppen_7,1
08089,confidence,98.95591745316335
08089,koppen_7,1
08091,confidence,79.13235406603722
08091,koppen_26,0.41849994572624827
08091,koppen_27,0.26336748951515165
08091,koppen_29,0.031241374389073977
08091,koppen_7,0.2868911903695261
08093,confidence,82.61173381882807
08093,koppen_26,0.09245774614692218
08093,koppen_27,0.5973841367542014
08093,koppen_29,0.056990954410418654
08093,koppen_7,0.2531671626884578
08095,confidence,99.81682711518253
08095,koppen_7,1
08097,confidence,82.81253717122135
08097,koppen_26,0.2361008454854751
08097,koppen_27,0.5385223669363663
08097,koppen_29,0.20690420829814707
08097,koppen_7,0.018472579280011458
08099,confidence,100
08099,koppen_7,1
08101,confidence,95.7970131409578
08101,koppen_26,0.010769536586340604
